code_circo,code_dpt,candidat,genre,LE PEN
02_3,2,Paul-Henry HANSEN-CATTA,H,0.3997819475526482
62_3,62,José EVRARD,H,0.399403435164547
62_10,62,Ludovic PAJOT,H,0.3977790518724162
59_19,59,Sébastien CHENU,H,0.39359260009452435
52_2,52,Frédéric FABRE,H,0.39251373626373626
59_20,59,Ludovic de DANNE,H,0.3758966007138154
13_12,13,Jean-Lin Lacapelle,H,0.37292930430254323
59_16,59,Hortense de MÉREUIL,F,0.37057996087244743
80_5,80,Loïc GRIMAUX,H,0.36670440963703843
59_3,59,Sylvie GODDYN,F,0.3643524482151054
59_12,59,Gérard PHILIPPE,H,0.3602151298563442
62_7,62,Philippe OLIVIER,H,0.3587637274607475
59_18,59,Mélanie DISDIER,F,0.3562692017854037
02_4,2,Jean MESSIHA,H,0.3550762667388986
51_5,51,Thomas LAVAL,H,0.35203507799638134
62_1,62,Agnès CAUDRON,F,0.35121420375912277
60_2,60,Gaëtan DUSSAUSAYE,H,0.35006691534497
60_1,60,Claire MARAIS-BEUIL,F,0.3469023803985423
66_2,66,Louis ALIOT,H,0.3420194133219242
84_4,84,Catherine CANDELA,F,0.33764156467345513
57_4,57,Marie-Amélie DUTHEIL DE LA ROCHÈRE,F,0.33710569919029604
57_6,57,Florian PHILIPPOT,H,0.33678093186759595
57_7,57,Kevin PFEFFER,H,0.3359662903202126
80_3,80,Patricia CHAGNON,F,0.33328345030902534
83_6,83,Jérôme RIVIÈRE,H,0.3326849294457759
62_6,62,Marie-Christine BOURGEOIS,F,0.3318593615185505
88_2,88,Isabelle GÉRARD,F,0.33103828636493027
59_13,59,Philippe EYMERY,H,0.32971637301246237
80_4,80,Eric RICHERMOZ,H,0.32944139872573713
70_2,70,Maurice MONNIER,H,0.32942940798400344
67_8,67,Gérard JANUS,H,0.3293397701774665
62_8,62,Karine Haverlant,F,0.32933864096654797
59_17,59,Thibaut FRANÇOIS,H,0.32887299781497736
83_8,83,Pierre JUGY,H,0.32795233860061646
987_1,987,Eric MINARDI,H,0.3272357022055017
08_3,8,Amandine Blomme,F,0.32705440212658693
57_5,57,Pascal Jenft,H,0.3269628006394482
77_4,77,Pierre-Charles CHERRIER,H,0.3269485288770598
59_14,59,Jean-Paul Tisserand,H,0.32616221878712776
02_2,2,Sylvie SAILLARD-MEUNIER,F,0.3261549395877754
13_16,13,Valérie LAUPIES,F,0.3252203525641026
55_1,55,Corinne KAUFMANN,F,0.32434965632913476
68_4,68,Alain FAVALETTO,H,0.323573845404717
08_1,8,Sophie Lorenzo,F,0.3227451397004143
55_2,55,Eric VILAIN,H,0.3217970625770587
54_4,54,Dominique BILDE,F,0.3192667033053309
67_7,67,Virginie JORON,F,0.318645323847636
62_9,62,Jacques DELAIRE,H,0.3176459140813778
60_7,60,Philippe LAMBILLIOTTE,H,0.31427889288698646
83_4,83,Philippe Lottiaux,H,0.3133382783905055
76_6,76,Françoise DUCHAUSSOY,F,0.3133189680274882
54_5,54,Billy WINKENS,H,0.31312985660498277
83_2,83,Rachel ROUSSEL,F,0.313111431862252
89_3,89,Julien ODOUL,F,0.3108045703049353
30_4,30,Brigitte ROULLAUD,F,0.3077169165716193
60_6,60,Michel GUINIOT,H,0.30595314996770134
59_21,59,Valérie CAUDRON,F,0.30342347716577184
54_6,54,Cédric Marsolle,H,0.30200989161317476
88_4,88,Jordan Grosse-Cruciani,H,0.30139728168665053
84_2,84,Thibaut de LA TOCNAYE,H,0.30130157431398397
27_5,27,Vincent TAILLIEU,H,0.300836820083682
60_5,60,François GACHIGNARD,H,0.29968566303788025
45_4,45,Ludovic Marchetti,H,0.29961089494163423
11_2,11,Jean-François Daraud,H,0.29825983172970666
59_15,59,Christine ENGRAND,H,0.2981473728281348
06_2,6,Jérôme Cochet,H,0.2979259170962839
70_1,70,Léonie CUGNOT,F,0.297639086710691
76_10,76,Stacy BLONDEL,F,0.2967245136450371
60_3,60,Philippe MURER,H,0.2958112369213129
10_2,10,Jean-Christophe LEFÈVRE,H,0.29551968880092816
66_4,66,Stéphane MASSANELL,H,0.29547592236868253
51_3,51,Baptiste PHILIPPO,H,0.2933179760881203
89_2,89,Edwige JACQUET,F,0.2921627927071632
82_2,82,Romain LOPEZ,H,0.29057633649060843
11_1,11,Christophe Barthès,H,0.2901180527921475
974_3,974,Jean-Hugues LEBIAN,H,0.2896290541852787
62_5,62,Antoine GOLLIOT,H,0.2889828253865027
80_1,80,Franck de LAPERSONNE,H,0.2880717687451545
76_9,76,Geneviève SALVISBERG,F,0.2859370045449741
83_7,83,Frédéric Boccaletti,H,0.2857451953671885
2A_1,2A,Francis Nadizi,H,0.28455213179995903
51_4,51,Thierry BESSON,H,0.2837198492670861
41_2,41,Mathilde Paris,F,0.282987368885249
67_9,67,Laurent Gnaedig,H,0.28298122878714416
38_10,38,Alain BREUIL,H,0.28275060234213034
25_3,25,Loup VIALLET,H,0.2826917308269173
68_6,68,Sylvain Marcelli,H,0.28256904637832203
45_5,45,Jeanne BEAULIER,H,0.28254742919989
84_5,84,Hervé de LÉPINAU,H,0.28235221159361873
57_8,57,Hervé HOFF,H,0.28191209674924994
52_1,52,Fabienne Cudel,F,0.28181850737716657
67_5,67,Eliane KLEIN,F,0.28177615362919545
71_4,71,Nathalie Szych,F,0.2810427369459068
976_2,976,Madi BOINALI ANLI,F,0.2804709524072743
66_1,66,Claudine FUENTES,F,0.27896858283733894
76_5,76,Bénédicte LE MOËL,F,0.2785540904021518
83_3,83,Aline RENCK-GUIGUE,F,0.2773638606033774
59_5,59,Victor CATTEAU,H,0.2766353719259569
66_3,66,Sandrine DOGOR,F,0.2755298347420209
77_6,77,Béatrice ROULLAUD,F,0.2753902358020591
974_5,974,Marie-Luce BRASIER-CLAIN,F,0.27477261847774054
67_6,67,Hombeline DU PARC,F,0.2739624440501099
01_4,1,Blanche Chaussat,F,0.2728536718958471
62_4,62,Marie-Annick DUPAS,F,0.2720440881763527
06_9,6,Nathalie Pavard,F,0.27174332582824057
42_4,42,Raphaëlle Jeanson,F,0.2699774093502316
68_3,68,Katia Di Leonardo,F,0.2699381012752629
88_1,88,Sébastien HUMBERT,H,0.2697070167129034
01_5,1,Pénélope CHALON,F,0.2696902770290246
86_4,86,Alain Verdin,H,0.2694109949958446
61_2,61,Francine LAVANRY,F,0.26899005327273406
45_3,45,Charles de Gevigney,H,0.26896515087122824
59_10,59,Virginie ROSEZ,F,0.2686673131537023
974_6,974,Élodie MARTIN CHARRON,F,0.2677610466551469
06_8,6,Anne KESSLER,F,0.26765286312513037
47_2,47,Hélène PAIN,F,0.26528753146945805
68_2,68,Grégory STICH,H,0.2640762825973455
54_3,54,Céline DOLCEMASCOLO,F,0.2640602413688775
976_1,976,Sandi FAOULATI,H,0.2637534139680062
77_5,77,Joffrey BOLLÉE,H,0.26352541046516875
88_3,88,Marina Do Santos,F,0.2622247143216226
39_3,39,Stéphane Montrelay,H,0.26157635467980295
18_3,18,Jordan LE GOÏC,H,0.2596061734965407
57_1,57,Laurence BURG,F,0.25945398205395565
68_1,68,Marie-Hélène de LACOSTE-LAREYMONDIE,F,0.2590560960463672
77_3,77,Aymeric Durox,H,0.25860142228242466
01_2,1,Anne Michaud,F,0.25842741719728185
17_4,17,Isabelle TEXIER,F,0.25679008825332555
71_3,71,Quentin BIJARD,H,0.2545448791987722
83_1,83,Amaury Navarranne,H,0.25450960882943635
01_1,1,Jérôme Buisson,H,0.2542764678687009
90_2,90,Jean-Raphaël SANDRI,H,0.2541646834840552
58_2,58,Harold BLANOT,H,0.25336716156111005
07_1,7,Céline Porquet,F,0.2527098274224711
42_5,42,Sarah Brosset,F,0.25211883083355374
60_4,60,Mylène TROSZCZYNSKI,F,0.2504763200870985
59_8,59,Astrid Leplat,F,0.249830799079547
89_1,89,Ludovic VIGREUX,H,0.24966839604425864
