code_circo,TG,SG,Titulaire,Suppléant,MÉLENCHON
93_7,H,F,Alexis Corbière,Corinne Benabdallah,0.40116574665891924
93_6,H,F,Bastien Lachaud,Samia Sadat,0.39120147467466365
13_4,H,,Jean-Luc Mélenchon, ,0.3909084232944114
13_7,H,F,Ouali BRINIS,Armelle Rioualen,0.3863439930855661
92_1,H,,AbdelNasser Lajili, ,0.38426101083835934
93_1,H,,Eric Coquerel, ,0.3840947141832098
93_5,H,F,Ugo Portier,Rozenn Gueguen Caruso,0.36244347072193456
94_10,F,H,Mathilde Panot,Mourad Tagzout,0.36014442495206234
76_8,H,F,François Panchout,Joanna Castillo,0.3489930049240263
93_9,F,H,Sabine Rubin,Charles Alonso,0.3434831482832745
75_17,F,H,Danièle Obono,Michel Mongkhoy,0.3416334434445837
34_2,F,H,Muriel RESSIGUIER,René REVOL,0.33709573389846126
95_5,F,H,Françoise Stiegler,Stéphane Steunou,0.3352482643822825
95_8,F,H,Pamela Hocini,Elisée Fernandez,0.33248004404073767
94_2,H,,François Cocq, ,0.3215303385853168
93_10,F,H,Ambre Froment,Joseph Pace,0.3199774384257035
94_11,H,F,Djamel Arrouche,Soulef Bergougnoux,0.3159083575346886
94_9,F,H,Martine Lachaud,Patrick Pérez Sécheret,0.3129829198861326
75_15,H,F,MEHDI KEMOUNE,Isabelle Leparcq,0.30606711853198876
75_16,F,H,Sarah Legrain,Stéphane Fernandez,0.30519575025469364
59_1,H,F,Adrien QUATENNENS,Agnès Pinson,0.30408254822790487
31_4,H,F,Liem Hoang Ngoc,Marie-Hélène Sistac,0.30391754992094633
69_14,H,,Benjamin Nivard, ,0.30069117499749576
13_13,H,F,Fabrice Aubert,Stella APEDDU,0.2988390823751597
91_1,F,H,Farida Amrani,Ulysse Rabaté,0.29692939565812637
59_8,H,,Paul-Vincent Zilmia, ,0.29603393042458154
33_3,H,F,Loïc Prudhomme,Tiphaine Maurin,0.2958879911020969
75_6,F,F,Danielle Simonnet,Sophie de La Rochefoucauld,0.2894569097399286
59_2,H,F,Ugo Bernalicis,Anne Cliche dite Conti,0.28678523500285363
38_3,H,F,Raphaël Briot,Raphaëlle Raban Revel,0.28479530834450933
09_1,F,H,Bénédicte Taurine,Marcel Lopez,0.2797153024911032
91_10,F,H,Charlotte Girard,Pascal Troadec,0.27847246427326594
31_9,H,F,Manuel Bompard,Laure Tachoires,0.27576199767178766
95_10,F,H,Katia Noin Ledanois,Gérard Januario,0.2734450531743474
31_1,F,H,CLAIRE DUJARDIN,Pascal FRAPPEREAU,0.2683939780074567
77_11,H,,Daniel Allioux, ,0.2680722891566265
69_7,F,F,Andréa Kotarac,Sophie Charrier,0.26556480943465255
30_5,H,,Guillaume Roiron, ,0.2654254053053344
